s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,BURN_RATE
 1.4560001E+002, 0.0000000E+000, 1.5417457E-003,-2.9998577E-002,-3.0088021E-002,-3.9714614E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4079046E-004,-4.5569099E-001, 1.6193469E-004
 1.4639999E+002, 0.0000000E+000, 1.5314950E-003,-2.8433562E-002,-2.6812398E-002,-3.8004499E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.2145800E-004,-4.3375946E-001, 1.6254048E-004
 1.4720000E+002, 0.0000000E+000, 1.5336551E-003,-4.3485930E-002,-2.2697500E-002,-3.2093622E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.4524585E-004,-3.8558600E-001, 1.6310443E-004
 1.4800000E+002, 0.0000000E+000, 1.5470032E-003,-5.1716026E-002,-1.6888819E-002,-2.3057119E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0095937E-004,-2.9762904E-001, 1.6363298E-004
 1.4880000E+002, 0.0000000E+000, 1.5630335E-003,-5.3124635E-002,-1.4869937E-002,-2.0008072E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.5075176E-004,-2.6651226E-001, 1.6413106E-004
 1.4960001E+002, 0.0000000E+000, 1.5653600E-003,-4.9695067E-002,-1.6419745E-002,-2.3125411E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0019496E-003,-2.9580356E-001, 1.6460311E-004
 1.5039999E+002, 0.0000000E+000, 1.5512592E-003,-4.5543427E-002,-1.4240572E-002,-2.1388543E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.7724716E-004,-2.7211817E-001, 1.6505191E-004
 1.5120000E+002, 0.0000000E+000, 1.5609235E-003,-5.1876044E-002,-1.5799202E-002,-2.2865609E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.9428056E-004,-2.9477042E-001, 1.6547957E-004
 1.5200000E+002, 0.0000000E+000, 1.5833279E-003,-5.7352595E-002,-1.6294546E-002,-2.5224871E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1811057E-004,-3.2431252E-001, 1.6588513E-004
 1.5280000E+002, 0.0000000E+000, 1.5746843E-003,-5.8765287E-002,-1.5609472E-002,-2.4122592E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0896257E-004,-3.1402599E-001, 1.6627141E-004
 1.5360001E+002, 0.0000000E+000, 1.5473149E-003,-5.9135059E-002,-1.4842466E-002,-1.8787845E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1258689E-003,-2.6030866E-001, 1.6664258E-004
 1.5439999E+002, 0.0000000E+000, 1.5563900E-003,-5.6234470E-002,-1.5218483E-002,-1.7429428E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.1653106E-005,-2.4419084E-001, 1.6700185E-004
 1.5520000E+002, 0.0000000E+000, 1.5730230E-003,-5.7843801E-002,-1.5394612E-002,-1.7143383E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 7.3320091E-004,-2.4309922E-001, 1.6735028E-004
 1.5600000E+002, 0.0000000E+000, 1.5801919E-003,-5.8842084E-002,-1.5848668E-002,-2.0747394E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4483353E-004,-2.8058450E-001, 1.6768687E-004
 1.5680000E+002, 0.0000000E+000, 1.5672894E-003,-5.8696155E-002,-1.8807974E-002,-3.1628413E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0754300E-003,-3.9222097E-001, 1.6801311E-004
 1.5760001E+002, 0.0000000E+000, 1.5323249E-003,-5.8819040E-002,-1.8385402E-002,-2.3030759E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.9961955E-004,-3.0597971E-001, 1.6832990E-004
 1.5839999E+002, 0.0000000E+000, 1.5308792E-003,-5.7199443E-002,-1.2558767E-002,-1.6593959E-001, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.7931320E-004,-2.3416692E-001, 1.6864013E-004
